Current Hour,Estudantes,Tempo de espera medio
12:00:00,0,0
12:00:01,0,0
12:00:02,0,0
12:00:03,1,0.0
12:00:04,1,0.0
12:00:05,1,1.0
12:00:06,2,1.0
12:00:07,2,1.5
12:00:08,2,2.5
12:00:09,3,2.3333333333333335
12:00:10,3,3.0
12:00:11,3,4.0
12:00:12,4,3.75
12:00:13,4,4.5
12:00:14,4,5.5
12:00:15,5,5.2
12:00:16,6,5.0
12:00:17,6,5.833333333333333
12:00:18,7,5.857142857142857
12:00:19,7,6.714285714285714
12:00:20,8,6.75
12:00:21,8,7.625
12:00:22,8,8.625
12:00:23,8,9.625
12:00:24,8,10.625
12:00:25,9,10.333333333333334
12:00:26,10,10.1
12:00:27,10,11.0
12:00:28,11,10.909090909090908
12:00:29,11,11.818181818181818
12:00:30,12,11.75
12:00:31,13,11.692307692307692
12:00:32,13,12.615384615384615
12:00:33,13,13.615384615384615
12:00:34,14,13.571428571428571
12:00:35,14,14.5
12:00:36,15,14.466666666666667
12:00:37,16,14.4375
12:00:38,16,15.375
12:00:39,16,16.375
12:00:40,17,16.352941176470587
12:00:41,17,17.294117647058822
12:00:42,18,17.27777777777778
12:00:43,19,17.263157894736842
12:00:44,19,18.210526315789473
12:00:45,19,19.210526315789473
12:00:46,21,18.285714285714285
12:00:47,21,19.19047619047619
12:00:48,21,20.19047619047619
12:00:49,21,21.19047619047619
12:00:50,22,21.181818181818183
12:00:51,22,22.136363636363637
12:00:52,24,21.208333333333332
12:00:53,25,21.24
12:00:54,25,22.2
12:00:55,25,23.2
12:00:56,26,23.26923076923077
12:00:57,26,24.23076923076923
12:00:58,26,25.23076923076923
12:00:59,27,25.25925925925926
12:01:00,27,26.22222222222222
12:01:01,28,26.25
12:01:02,30,25.4
12:01:03,30,26.333333333333332
12:01:04,31,26.451612903225808
12:01:05,32,26.5625
12:01:06,33,26.696969696969695
12:01:07,33,27.666666666666668
12:01:08,34,27.823529411764707
12:01:09,35,27.97142857142857
12:01:10,36,28.13888888888889
12:01:11,37,28.324324324324323
12:01:12,38,28.526315789473685
12:01:13,39,28.743589743589745
12:01:14,39,29.71794871794872
12:01:15,40,29.95
12:01:16,42,29.452380952380953
12:01:17,42,30.404761904761905
12:01:18,42,31.404761904761905
12:01:19,43,31.651162790697676
12:01:20,44,31.886363636363637
12:01:21,45,32.13333333333333
12:01:22,46,32.391304347826086
12:01:23,48,31.979166666666668
12:01:24,48,32.9375
12:01:25,49,33.244897959183675
12:01:26,49,34.224489795918366
12:01:27,51,33.84313725490196
12:01:28,51,34.80392156862745
12:01:29,52,35.11538461538461
12:01:30,52,36.09615384615385
12:01:31,52,37.09615384615385
12:01:32,54,36.68518518518518
12:01:33,55,36.96363636363636
12:01:34,56,37.267857142857146
12:01:35,56,38.25
12:01:36,57,38.56140350877193
12:01:37,59,38.20338983050848
12:01:38,59,39.16949152542373
12:01:39,60,39.5
12:01:40,61,39.81967213114754
12:01:41,62,40.145161290322584
12:01:42,62,41.12903225806452
12:01:43,63,41.46031746031746
12:01:44,65,41.13846153846154
12:01:45,65,42.10769230769231
12:01:46,65,43.10769230769231
12:01:47,68,42.161764705882355
12:01:48,68,43.11764705882353
12:01:49,68,44.11764705882353
12:01:50,71,43.2112676056338
12:01:51,71,44.16901408450704
12:01:52,71,45.16901408450704
12:01:53,72,45.52777777777778
12:01:54,73,45.87671232876713
12:01:55,73,46.863013698630134
12:01:56,73,47.863013698630134
12:01:57,75,47.56
12:01:58,75,48.53333333333333
12:01:59,75,49.53333333333333
12:02:00,77,49.22077922077922
12:02:01,77,50.1948051948052
12:02:02,77,51.1948051948052
12:02:03,78,51.51282051282051
12:02:04,79,51.822784810126585
12:02:05,80,52.125
12:02:06,80,53.0875
12:02:07,80,54.0625
12:02:08,81,54.358024691358025
12:02:09,83,53.98795180722892
12:02:10,84,54.285714285714285
12:02:11,84,55.25
12:02:12,86,54.91860465116279
12:02:13,86,55.872093023255815
12:02:14,87,56.195402298850574
12:02:15,88,56.51136363636363
12:02:16,89,56.82022471910113
12:02:17,89,57.7752808988764
12:02:18,91,57.45054945054945
12:02:19,92,57.76086956521739
12:02:20,92,58.71739130434783
12:02:21,94,58.41489361702128
12:02:22,95,58.72631578947368
12:02:23,96,59.041666666666664
12:02:24,96,59.979166666666664
12:02:25,97,60.29896907216495
12:02:26,98,60.61224489795919
12:02:27,99,60.91919191919192
12:02:28,100,61.23
12:02:29,103,60.349514563106794
12:02:30,103,61.262135922330096
12:02:31,103,62.19417475728155
12:02:32,106,61.339622641509436
12:02:33,106,62.24528301886792
12:02:34,107,62.57943925233645
12:02:35,107,63.495327102803735
12:02:36,109,63.23853211009175
12:02:37,109,64.14678899082568
